Indicadores municipales de sostenibilidad: Mujeres candidatas en elecciones municipales (% sobre total personas candidatas);;;;;;;;;;
"";;;;;;;;;;
Resumen de datos;;;;;;;;;;
Entidad;;2023;2019;2015;2011;2007;2003;1999;1995;1991
Araba/Álava;;46,70;44,37;42,04;40,07;37,70;32,89;30,64;26,39;22,77
Bizkaia;;47,94;48,29;45,93;44,89;43,81;35,14;34,86;30,97;27,70
CAE;;47,89;47,51;44,83;44,27;42,33;34,60;34,00;30,22;26,52
Gipuzkoa;;48,39;47,86;44,60;45,16;42,41;34,72;34,45;30,93;26,48
"";;;;;;;;;;
Detalle por comarcas;;;;;;;;;;
Código comarca;Comarca;2023;2019;2015;2011;2007;2003;1999;1995;1991
01100;Arabako Ibarrak / Valles Alaveses;43,72;40,95;37,50;34,02;31,62;28,63;30,77;20,69;10,00
01200;Arabako Lautada / Llanada Alavesa;49,85;47,03;45,31;43,67;42,62;33,65;32,89;31,18;27,17
01300;Arabako Mendialdea / Montaña Alavesa;41,30;42,86;38,19;38,99;40,32;35,36;33,15;19,75;21,71
48100;Arratia Nerbioi / Arratia-Nervión;49,32;48,43;44,27;41,81;41,54;33,10;32,16;28,53;24,35
20200;Bidasoa Beherea / Bajo Bidasoa;50,00;47,65;47,02;46,08;46,08;35,68;37,14;37,55;33,11
48200;Bilbo Handia / Gran Bilbao;48,33;49,25;46,90;46,66;45,65;35,94;36,34;31,70;29,17
20100;Deba Beherea / Bajo Deba;49,10;47,58;47,57;46,37;43,85;38,48;34,52;34,51;27,56
20300;Debagoiena / Alto Deba;49,07;47,65;46,34;44,46;43,71;31,46;31,98;27,17;24,04
20400;Donostialdea / Donostia-San Sebastián;49,95;48,80;47,29;47,20;43,69;35,97;39,66;35,22;31,48
48300;Durangaldea / Duranguesado;48,26;49,14;46,35;45,24;42,19;34,22;32,64;30,88;28,86
48400;Enkartazioak / Encartaciones;48,64;45,24;42,66;43,55;38,83;29,56;30,02;25,15;22,60
01400;Errioxa Arabarra / Rioja Alavesa;42,82;39,90;35,94;32,45;29,97;26,59;24,88;23,71;16,33
48500;Gernika-Bermeo;44,95;46,98;45,40;42,56;44,98;38,63;35,23;32,16;28,96
20500;Goierri;46,39;46,32;42,26;42,04;40,50;31,22;30,79;26,81;22,80
01500;Gorbeia Inguruak / Estribaciones del Gorbea;42,51;41,49;43,78;38,16;35,16;41,35;31,33;22,45;23,78
01600;Kantauri Arabarra / Cantábrica Alavesa;50,98;48,13;46,18;46,22;42,01;36,91;31,99;30,26;27,34
48600;Markina-Ondarroa;46,00;45,55;44,83;43,01;41,78;34,74;37,66;32,03;29,39
48700;Plentzia-Mungia;48,09;47,36;45,58;43,64;44,47;35,88;36,05;32,72;23,06
20600;Tolosaldea / Tolosa;47,09;47,20;37,04;43,39;38,53;35,29;29,45;26,26;21,57
20700;Urola-Kostaldea / Urola Costa;47,45;49,11;46,58;46,60;42,94;36,06;36,62;30,63;24,53
"";;;;;;;;;;
Detalle por municipios;;;;;;;;;;
Código municipio;Municipio;2023;2019;2015;2011;2007;2003;1999;1995;1991
48001;Abadiño;52,56;53,85;47,69;48,72;46,15;35,38;28,57;30,77;24,24
20001;Abaltzisketa;28,57;28,57;0,00;7,14;35,71;42,86;0,00;14,29;0,00
48002;Abanto y Ciérvana-Abanto Zierbena;51,28;51,28;46,15;46,15;46,15;34,18;35,16;31,73;27,66
20002;Aduna;38,10;42,86;21,43;28,57;42,86;35,71;14,29;14,29;0,00
20016;Aia;38,64;42,42;45,45;45,45;38,89;35,71;29,63;14,81;3,03
20003;Aizarnazabal;47,62;52,38;32,14;39,29;42,86;42,86;42,86;28,57;28,57
48911;Ajangiz;47,62;42,86;35,71;35,71;39,29;33,33;33,33;23,81;29,17
20004;Albiztur;38,10;50,00;28,57;19,05;42,86;35,71;0,00;14,29;0,00
20005;Alegia;62,96;55,56;25,00;33,33;25,93;41,67;22,22;30,56;33,33
01001;Alegría-Dulantzi;50,65;46,97;47,27;42,42;42,86;37,78;20,37;40,00;31,11
20006;Alkiza;33,33;35,71;14,29;35,71;28,57;43,75;28,57;0,00;0,00
48912;Alonsotegi;43,18;45,45;45,45;43,94;43,94;39,39;29,49;32,47;20,29
20906;Altzaga;20,00;40,00;20,00;0,00;40,00;10,00;0,00;0,00;0,00
20007;Altzo;35,71;57,14;57,14;38,10;47,62;50,00;21,43;35,71;21,43
20008;Amezketa;28,57;47,62;28,57;42,86;31,43;14,29;22,22;22,22;22,22
48003;Amorebieta-Etxano;51,76;54,12;48,24;45,10;45,88;34,43;32,35;38,24;20,59
48004;Amoroto;42,86;14,29;28,57;35,71;33,33;50,00;28,57;0,00;0,00
01002;Amurrio;48,74;46,22;46,08;45,88;48,35;40,24;34,78;28,21;37,08
20009;Andoain;48,24;49,41;46,08;48,74;42,35;30,88;35,29;25,49;23,53
20010;Anoeta;48,48;51,52;29,63;36,11;35,56;33,33;27,78;25,00;22,22
20011;Antzuola;45,45;42,42;36,36;36,36;36,36;37,04;33,33;29,09;25,33
48005;Arakaldo;42,86;50,00;44,44;30,00;0,00;50,00;50,00;22,22;0,00
20012;Arama;20,00;20,00;40,00;30,00;60,00;40,00;40,00;0,00;0,00
01003;Aramaio;30,56;30,56;27,78;31,11;27,78;44,44;33,33;16,67;25,93
48006;Arantzazu;50,00;57,14;64,29;39,29;42,86;32,14;28,57;35,71;35,71
