Indicadores municipales de sostenibilidad: Solicitudes de vivienda que constan en Etxebide (? habitantes);;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
Araba/Álava;;45,48;37,30;36,91;35,33;32,37;29,80;27,56;22,75;21,98;24,04;30,83;28,93;37,92;37,70;45,09;53,05;57,82;59,66;61,13
Bizkaia;;69,39;52,36;55,16;54,52;49,71;45,26;43,63;37,45;37,59;36,69;42,55;40,66;40,56;39,85;41,92;38,33;37,74;37,07;35,16
CAE;;62,66;50,71;52,55;51,59;46,32;42,47;40,32;34,10;34,10;33,74;40,56;38,50;40,70;40,76;44,03;43,33;44,08;43,64;41,13
Gipuzkoa;;59,93;54,29;55,60;54,38;47,32;43,81;40,86;33,89;34,01;33,40;41,74;39,31;42,18;43,62;47,02;47,22;48,41;47,40;42,16
"";;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
01100;Arabako Ibarrak / Valles Alaveses;17,90;16,01;15,64;40,69;14,29;13,94;13,00;10,61;8,94;9,87;11,30;5,67;3,32;2,35;2,37;1,75;2,30;3,06;3,87
01200;Arabako Lautada / Llanada Alavesa;49,46;40,44;40,11;1,12;34,98;31,86;29,47;24,65;23,69;25,84;33,29;31,41;41,88;40,83;49,83;59,23;64,92;67,58;69,57
01300;Arabako Mendialdea / Montaña Alavesa;12,38;9,98;10,18;16,04;6,29;9,64;9,96;7,31;7,38;7,64;12,41;7,57;7,48;7,83;8,12;6,88;6,62;5,71;5,09
48100;Arratia Nerbioi / Arratia-Nervión;33,25;23,49;25,35;261,97;22,44;22,69;22,31;17,40;16,93;17,45;22,06;18,88;18,38;17,53;19,40;20,72;21,38;21,30;18,33
20200;Bidasoa Beherea / Bajo Bidasoa;56,89;52,63;54,94;29,81;47,61;45,32;40,22;31,30;29,96;28,95;32,48;30,38;29,79;28,46;28,28;28,54;28,01;25,63;20,59
48200;Bilbo Handia / Gran Bilbao;77,39;58,67;61,44;12,93;55,42;50,30;48,24;41,39;41,34;39,99;46,68;45,17;44,40;43,53;45,42;41,03;40,26;39,32;37,27
20100;Deba Beherea / Bajo Deba;37,19;33,61;34,58;74,32;31,02;30,13;28,86;22,56;22,46;20,68;29,17;26,99;30,15;33,21;35,21;34,83;35,25;35,12;33,58
20300;Debagoiena / Alto Deba;30,31;25,98;27,78;19,72;23,23;20,90;18,95;16,11;16,96;17,69;28,37;25,53;30,31;32,38;38,15;45,15;49,14;48,23;44,66
20400;Donostialdea / Donostia-San Sebastián;76,72;70,23;71,61;4,91;60,44;54,63;52,50;43,99;45,31;44,59;55,28;52,54;56,40;58,09;62,13;60,36;61,98;62,80;56,39
48300;Durangaldea / Duranguesado;46,80;33,04;36,10;61,90;31,30;28,60;28,06;24,31;24,72;25,87;30,09;27,16;31,03;31,69;36,10;34,35;33,48;34,01;34,39
48400;Enkartazioak / Encartaciones;38,16;29,45;31,73;305,14;31,04;27,76;25,50;23,03;22,64;21,41;23,68;18,80;19,43;20,08;21,69;22,71;22,02;20,10;17,41
01400;Errioxa Arabarra / Rioja Alavesa;25,73;22,79;23,86;71,47;24,35;21,13;18,65;16,51;15,06;14,64;14,26;11,75;8,57;6,70;5,26;4,60;4,69;4,51;4,36
48500;Gernika-Bermeo;32,41;25,81;27,76;558,59;25,25;25,02;25,35;22,63;24,03;22,73;29,15;25,23;26,22;26,59;28,88;28,47;31,56;32,00;30,82
20500;Goierri;29,13;26,47;26,37;54,77;21,11;19,88;19,18;16,31;17,46;17,32;23,72;21,52;23,71;26,37;28,49;29,05;29,97;27,83;24,26
01500;Gorbeia Inguruak / Estribaciones del Gorbea;31,28;27,97;24,07;1.083,25;19,14;16,45;12,85;11,00;10,71;11,49;13,93;10,28;16,88;17,08;19,87;26,92;29,37;28,47;28,63
01600;Kantauri Arabarra / Cantábrica Alavesa;33,11;26,71;26,47;10,94;23,86;25,01;23,92;17,01;17,87;20,88;27,51;27,09;32,61;39,15;40,65;43,37;44,98;42,68;41,21
48600;Markina-Ondarroa;27,29;20,88;22,04;36,05;20,37;19,37;21,44;17,93;21,03;21,15;27,17;25,26;26,09;25,21;26,81;24,10;22,89;19,64;18,94
48700;Plentzia-Mungia;70,29;52,14;57,26;38,71;50,74;45,92;45,28;38,27;38,68;40,65;38,50;36,08;37,53;34,76;35,47;33,45;32,87;34,79;30,58
20600;Tolosaldea / Tolosa;42,55;39,22;39,97;460,19;32,39;32,51;31,18;27,85;27,74;26,24;28,61;25,68;26,24;28,94;35,28;40,70;40,24;40,21;33,84
20700;Urola-Kostaldea / Urola Costa;70,03;59,75;61,39;42,85;55,61;53,55;44,22;35,96;31,04;31,21;37,82;36,58;38,83;38,21;40,86;40,63;41,27;32,86;26,87
"";;;;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
48001;Abadiño;50,32;34,47;35,74;39,09;32,50;29,24;27,62;20,73;22,13;26,54;28,28;29,06;33,24;35,99;59,95;52,94;41,67;31,67;30,81
20001;Abaltzisketa;6,39;6,23;6,58;9,77;6,37;12,20;9,55;6,25;6,37;6,27;3,13;3,12;3,14;3,18;3,18;3,17;3,17;3,31;3,38
48002;Abanto y Ciérvana-Abanto Zierbena;46,45;36,19;37,08;34,13;31,15;28,18;26,72;23,57;23,51;24,07;29,92;25,78;27,03;27,02;31,17;30,54;29,88;29,58;31,21
20002;Aduna;92,74;67,59;57,97;56,49;51,76;37,50;27,08;24,95;36,56;36,56;8,57;4,42;6,71;4,47;2,35;5,03;5,39;5,48;5,51
20016;Aia;35,73;28,80;29,92;457,94;23,68;23,52;21,78;15,80;11,37;11,36;10,94;6,97;7,00;7,58;7,55;6,71;5,43;8,82;6,68
20003;Aizarnazabal;47,31;36,05;35,90;76,52;35,11;32,77;30,03;22,11;23,87;19,87;21,22;16,00;13,55;15,49;19,01;29,37;47,17;52,80;53,14
48911;Ajangiz;19,48;17,24;15,09;124,46;20,45;26,49;26,20;23,81;30,11;26,49;4,39;6,76;8,85;15,52;6,79;6,88;13,70;11,47;11,57
20004;Albiztur;0,00;0,00;3,32;102,65;3,41;3,38;6,62;6,58;6,47;3,33;3,27;3,31;3,40;3,46;6,87;3,33;3,32;0,00;0,00
20005;Alegia;33,35;32,47;32,91;1,10;28,92;27,41;35,35;25,63;21,59;19,73;20,21;15,60;13,41;19,63;23,11;24,46;27,20;22,81;18,15
01001;Alegría-Dulantzi;45,11;36,49;33,81;30,48;26,11;22,44;24,02;20,37;16,73;18,27;19,61;9,37;9,98;7,19;8,18;9,59;10,29;9,60;7,27
20006;Alkiza;14,37;11,24;17,49;163,79;8,57;11,56;14,12;8,60;5,78;2,86;5,56;2,72;2,80;5,83;5,90;5,68;5,83;6,29;0,00
48912;Alonsotegi;58,63;44,27;46,62;4,41;42,17;40,67;40,42;33,49;31,17;27,20;29,07;28,41;22,38;22,64;22,55;24,59;21,81;18,12;17,95
20906;Altzaga;0,00;6,02;11,70;3.076,47;5,46;5,32;10,87;5,43;0,00;0,00;0,00;0,00;0,00;6,33;6,41;6,29;0,00;0,00;0,00
20007;Altzo;32,83;25,13;21,22;10,10;15,38;19,07;25,14;22,60;19,55;20,00;23,19;8,47;2,81;2,85;2,90;5,03;2,53;5,32;2,77
20008;Amezketa;19,57;21,72;23,66;1,08;17,39;23,15;18,42;10,86;7,60;5,42;5,27;1,05;0,00;0,00;2,04;2,05;4,13;5,32;3,13
48003;Amorebieta-Etxano;49,69;34,41;39,95;0,47;33,28;28,56;27,80;25,44;24,61;25,06;21,79;16,39;18,78;19,76;22,76;24,29;26,13;28,94;35,34
48004;Amoroto;10,39;13,05;12,82;344,83;7,23;4,89;4,77;4,77;7,26;14,96;4,90;0,00;0,00;0,00;0,00;2,48;2,49;2,46;2,50
01002;Amurrio;38,13;33,58;32,69;29,54;27,20;27,55;24,31;16,37;18,14;22,90;29,67;28,33;34,07;41,22;44,58;43,47;40,82;39,27;33,12
20009;Andoain;54,65;44,98;48,04;0,61;41,10;37,67;36,91;32,29;34,94;35,81;43,67;41,30;44,46;47,42;49,99;49,62;49,88;54,07;52,98
20010;Anoeta;45,41;37,25;39,94;8,52;34,98;38,31;33,30;36,46;34,07;30,64;23,77;24,57;19,67;21,31;18,49;17,53;20,19;19,33;15,44
20011;Antzuola;18,23;16,78;17,33;330,38;9,18;7,72;5,41;3,61;2,70;8,02;10,26;5,82;7,71;6,35;5,07;8,33;11,72;9,48;5,68
48005;Arakaldo;45,71;28,09;41,42;4.788,24;29,41;23,95;24,39;12,27;30,30;18,40;13,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20012;Arama;0,00;10,26;15,15;419,51;19,61;14,85;19,14;18,96;19,05;14,08;4,55;4,55;5,00;5,08;4,67;0,00;0,00;5,52;5,85
01003;Aramaio;7,06;6,93;10,22;4,01;8,78;8,63;7,89;9,22;9,17;9,03;15,04;11,67;9,76;9,89;9,81;31,48;41,50;42,97;43,56
48006;Arantzazu;21,53;16,99;7,14;11,99;10,31;10,61;16,30;8,02;7,94;7,81;10,39;5,36;5,52;8,55;9,29;13,20;13,20;13,29;10,03
48093;Areatza;36,05;21,92;23,48;1.895,07;24,39;25,51;22,91;19,12;18,43;11,90;20,75;25,12;21,29;23,10;42,29;37,50;34,48;32,71;30,51
20013;Aretxabaleta;27,61;22,05;27,52;3,65;23,59;22,40;21,25;19,22;17,46;19,07;23,02;17,47;19,12;22,79;29,19;32,84;35,83;49,64;48,40
01006;Armiñón;25,21;17,78;13,16;13,39;13,45;8,97;14,02;8,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,29;0,00;0,00
01037;Arraia-Maeztu;14,51;14,81;17,50;26,42;6,83;8,20;9,79;8,33;11,14;11,32;16,90;5,47;6,78;5,53;7,04;8,47;5,69;5,63;5,63
