Indicadores municipales de sostenibilidad: Tasa de crecimiento vegetativo (?);;;;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Araba/Álava;;-2,09;-2,72;-1,82;-2,63;-0,68;-0,24;0,46;1,20;1,22;2,49;1,62;2,40;2,84;2,88;2,32;2,55;1,99;2,21;0,98;1,80;1,15;1,12
Bizkaia;;-4,55;-5,51;-4,84;-5,17;-3,70;-3,51;-2,89;-2,29;-2,17;-1,24;-0,87;-0,78;-0,28;-0,17;-0,28;0,09;-0,19;-0,24;-0,61;-0,35;-0,78;-0,94
CAE;;-4,02;-4,82;-4,03;-4,33;-2,82;-2,59;-2,09;-1,37;-1,22;-0,36;-0,26;0,12;0,62;0,83;0,60;0,87;0,63;0,72;0,14;0,43;-0,02;-0,23
Gipuzkoa;;-4,08;-4,68;-3,74;-3,77;-2,41;-2,19;-1,98;-1,07;-0,80;-0,23;-0,14;0,54;1,08;1,55;1,29;1,40;1,38;1,66;1,00;1,13;0,74;0,36
"";;;;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
01100;Arabako Ibarrak / Valles Alaveses;-4,89;-4,59;-3,97;-4,02;-11,58;-2,30;-3,14;-0,17;-3,02;-4,67;0,33;-1,33;-1,00;-2,19;-1,38;-1,76;-0,18;-1,64;-1,49;-0,96;-3,95;-4,44
01200;Arabako Lautada / Llanada Alavesa;-1,61;-2,33;-1,30;-2,21;0,09;0,33;0,72;1,69;1,84;3,15;2,05;2,99;3,16;3,35;2,87;3,16;2,39;2,38;1,67;2,21;1,69;1,63
01300;Arabako Mendialdea / Montaña Alavesa;-4,66;-7,75;-9,96;-5,48;-11,60;-9,63;-2,32;-6,68;-7,01;-4,94;-10,27;-5,64;-0,62;-2,19;-7,19;-4,08;-6,01;-0,64;-8,91;-7,00;-10,25;-4,52
48100;Arratia Nerbioi / Arratia-Nervión;-2,48;-5,43;-3,73;-3,45;-2,42;-1,38;-1,77;-1,73;1,10;-0,88;0,76;0,34;1,40;2,48;0,17;0,61;0,71;-1,80;-1,50;-1,00;-1,88;-2,13
20200;Bidasoa Beherea / Bajo Bidasoa;-3,65;-4,49;-4,01;-3,13;-2,12;-1,94;-2,52;-0,63;0,57;0,89;-0,12;2,09;1,76;1,93;1,56;2,77;3,05;2,62;2,87;2,53;3,16;1,18
