Indicadores municipales de sostenibilidad: Variación interanual de la población (%);;;;;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;;;;
Entidad;;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Araba/Álava;;0,69;0,65;0,15;-0,01;0,68;0,75;0,60;0,39;0,17;0,55;-0,07;-0,50;1,04;0,54;1,10;1,22;1,33;1,30;1,22;1,41;1,02;0,86;1,04
Bizkaia;;0,53;0,42;-0,43;-0,43;0,54;0,19;0,11;0,05;-0,23;-0,24;-0,57;-0,29;0,23;0,06;0,05;0,59;0,57;0,95;0,43;0,24;-0,01;-0,00;-0,14
CAE;;0,51;0,47;-0,30;-0,30;0,53;0,35;0,21;0,18;-0,06;0,02;-0,28;-0,12;0,39;0,23;0,28;0,71;0,79;0,74;0,52;0,45;0,24;0,19;0,28
Gipuzkoa;;0,41;0,45;-0,32;-0,22;0,45;0,41;0,21;0,30;0,10;0,19;0,10;0,33;0,35;0,37;0,29;0,68;0,91;0,15;0,36;0,37;0,33;0,21;0,67
"";;;;;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
01100;Arabako Ibarrak / Valles Alaveses;0,92;-0,32;0,99;1,75;0,98;0,40;0,71;1,72;-0,84;-0,60;0,30;-0,42;0,28;0,78;3,22;1,19;1,91;2,36;2,32;2,54;4,13;;1,96
01200;Arabako Lautada / Llanada Alavesa;0,73;0,78;0,17;-0,14;0,82;0,93;0,64;0,39;0,32;0,73;-0,02;-0,57;1,16;0,49;1,14;1,33;1,41;1,26;1,25;1,44;0,82;;1,13
01300;Arabako Mendialdea / Montaña Alavesa;0,75;-1,08;1,98;5,19;0,47;-0,13;0,13;0,94;-0,93;-1,76;-3,38;-1,22;0,41;-0,34;0,19;0,79;0,54;0,45;-0,06;0,16;1,10;;0,00
48100;Arratia Nerbioi / Arratia-Nervión;0,68;0,13;-0,13;0,47;0,38;0,53;0,29;0,21;-0,16;-0,11;-0,11;0,44;0,75;1,28;0,76;1,10;1,92;1,12;0,64;0,46;0,83;;0,51
20200;Bidasoa Beherea / Bajo Bidasoa;0,82;0,23;-0,64;0,45;0,46;0,27;-0,26;0,08;0,19;0,39;-0,01;0,21;0,15;-0,05;-0,14;0,04;0,40;0,71;0,72;0,73;1,37;;1,55
48200;Bilbo Handia / Gran Bilbao;0,52;0,43;-0,53;-0,69;0,57;0,10;0,04;-0,00;-0,33;-0,34;-0,69;-0,46;-0,01;-0,13;-0,08;0,48;0,34;0,81;0,36;0,17;-0,24;;-0,32
20100;Deba Beherea / Bajo Deba;0,43;-0,16;-0,56;-1,25;0,33;0,19;0,15;0,35;-0,02;0,16;0,10;0,28;0,54;0,24;0,24;0,21;0,83;0,16;-0,32;-0,31;-0,37;;-0,03
20300;Debagoiena / Alto Deba;0,56;0,39;-0,24;-1,06;0,23;0,16;-0,01;0,54;-0,05;-0,14;0,36;0,70;0,69;0,19;0,12;0,41;0,24;-0,23;-0,10;-0,09;-0,29;;0,37
