Indicadores municipales de sostenibilidad: Viviendas adjudicadas por Etxebide en el último trienio por cada 100 solicitudes inscritas;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007
Araba/Álava;;2,91;1,89;0,73;0,39;0,00;1,55;1,73;5,37;3,38;3,10;2,07;8,77;13,71;14,37;7,94;7,68;7,67
Bizkaia;;0,71;1,13;1,06;1,27;1,47;1,74;1,78;1,03;2,10;2,24;3,68;3,45;3,47;3,17;2,19;2,99;2,44
CAE;;0,94;1,02;0,89;0,97;1,08;1,42;1,56;1,58;2,33;2,39;3,34;3,76;4,83;4,71;3,23;3,52;3,45
Gipuzkoa;;0,67;0,59;0,66;0,66;0,78;0,84;1,13;1,38;2,40;2,42;3,24;2,34;3,22;2,62;2,34;1,99;2,34
"";;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007
01100;Arabako Ibarrak / Valles Alaveses;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,77;
01200;Arabako Lautada / Llanada Alavesa;2,61;1,77;0,84;0,70;0,00;1,80;2,00;6,21;3,69;3,38;1,80;9,43;13,55;13,56;6,59;7,51;
01300;Arabako Mendialdea / Montaña Alavesa;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
48100;Arratia Nerbioi / Arratia-Nervión;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,33;8,07;19,11;23,75;
20200;Bidasoa Beherea / Bajo Bidasoa;0,80;0,82;0,85;2,06;2,84;3,78;1,85;2,08;3,34;4,40;3,01;1,11;0,00;0,00;1,53;1,58;
48200;Bilbo Handia / Gran Bilbao;0,85;1,35;1,27;2,13;1,76;2,09;2,15;1,24;2,39;2,41;3,58;3,13;2,75;2,45;1,42;2,64;
20100;Deba Beherea / Bajo Deba;0,00;0,00;0,00;0,00;0,00;3,90;5,49;6,18;5,63;4,17;8,45;8,76;14,34;10,59;6,75;3,26;
20300;Debagoiena / Alto Deba;6,88;7,74;5,71;7,08;2,41;0,00;0,00;0,00;10,61;9,35;7,97;0,00;8,43;11,58;11,29;4,50;
20400;Donostialdea / Donostia-San Sebastián;0,21;0,22;0,55;0,53;0,38;0,12;0,81;1,44;1,76;1,39;2,60;2,20;2,74;1,35;1,20;1,83;
48300;Durangaldea / Duranguesado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,16;2,10;9,73;11,70;15,50;9,34;5,66;2,86;
48400;Enkartazioak / Encartaciones;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,65;10,43;10,79;
01400;Errioxa Arabarra / Rioja Alavesa;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
48500;Gernika-Bermeo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,41;4,20;4,33;2,40;9,07;8,60;6,19;
20500;Goierri;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,90;4,46;4,89;3,16;0,74;2,24;2,16;2,20;
01500;Gorbeia Inguruak / Estribaciones del Gorbea;16,41;18,34;0,00;0,00;0,00;0,00;0,00;0,00;15,09;15,24;42,98;27,69;23,08;7,69;13,15;12,02;
01600;Kantauri Arabarra / Cantábrica Alavesa;4,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,11;15,27;23,54;20,97;9,05;
48600;Markina-Ondarroa;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
48700;Plentzia-Mungia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
20600;Tolosaldea / Tolosa;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,95;2,01;2,02;2,88;2,60;3,97;1,56;1,51;
20700;Urola-Kostaldea / Urola Costa;1,39;0,30;0,00;0,00;1,18;1,36;1,64;0,00;0,00;1,33;1,25;1,26;0,00;0,00;0,00;0,00;
"";;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007
48001;Abadiño;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,89;50,62;87,11;61,26;40,85;0,00;0,00
20001;Abaltzisketa;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48002;Abanto y Ciérvana-Abanto Zierbena;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
