CODIGO,MUNICIPIO,COMARCA,2016,2017,2018,2019,2020,2021,2022,2023,2024
01002,Amurrio,ARRATIA-NERVIÓN,"496,8","468,4","503,2","501,0","527,3","530,4","522,0","574,3","565,9"
01036,Laudio/Llodio,ARRATIA-NERVIÓN,"499,1","508,9","509,4","528,6","537,1","545,0","573,5","592,5","584,0"
01051,Agurain/Salvatierra,LLANADA ALAVESA,"398,0","423,4","453,2","457,4","444,6","453,3","479,0","509,1","507,4"
01059,Vitoria-Gasteiz,LLANADA ALAVESA,"565,0","585,0","619,5","649,3","665,3","674,4","710,9","750,6","721,2"
20009,Andoain,DONOSTIALDEA,"580,2","602,2","605,9","639,0","638,9","646,4","675,1","699,1","695,1"
20013,Aretxabaleta,ALTO DEBA,"464,3","483,3","493,4","518,8","531,0","540,6","564,2","590,3","579,9"
20017,Azkoitia,UROLA KOSTA,"466,3","467,7","492,1","490,1","514,9","536,9","566,9","574,1","569,0"
20018,Azpeitia,UROLA KOSTA,"497,3","499,1","524,8","515,9","518,0","570,7","574,1","598,7","590,6"
20019,Beasain,GOIERRI,"547,4","545,6","556,0","602,8","602,5","610,6","640,6","659,8","658,3"
20029,Deba,BAJO DEBA,"511,4","533,1","545,4","560,1","583,2","611,5","589,2","662,1","633,7"
20030,Eibar,BAJO DEBA,"520,0","509,1","524,9","537,9","546,5","561,8","567,5","605,2","603,2"
20032,Elgoibar,BAJO DEBA,"465,8","472,2","489,7","512,5","518,1","526,9","539,7","571,1","563,3"
20036,Hondarribia,DONOSTIALDEA,"654,1","654,4","686,5","718,4","717,5","730,8","760,2","823,3","793,6"
20040,Hernani,DONOSTIALDEA,"595,9","608,3","626,5","654,1","661,1","666,4","699,9","729,4","715,0"
20045,Irun,BAJO BIDASOA,"603,4","614,0","657,0","667,7","675,5","692,0","730,2","771,6","745,1"
20049,Lazkao,GOIERRI,"504,0","492,3","500,2","521,5","536,6","551,0","587,1","596,1","586,4"
20051,Legazpi,GOIERRI,-,"471,4","471,2","491,8","487,2","521,9","533,6","553,0","549,3"
20053,Lezo,DONOSTIALDEA,"620,3","613,3","641,0","658,4","672,1","689,3","685,4","745,2","730,8"
20055,Arrasate/Mondragon,ALTO DEBA,"493,9","496,6","509,6","563,9","576,5","579,6","615,1","644,8","628,6"
20056,Mutriku,BAJO DEBA,-,"476,6",-,"475,9","503,1",-,"528,3",-,"528,6"
20059,Oñati,ALTO DEBA,"468,7","478,8","497,3","524,6","539,5","523,3","550,9","582,8","568,2"
20061,Orio,UROLA KOSTA,"622,2","640,3","644,4","681,8","699,2","749,9","744,1","811,5","768,3"
20063,Oiartzun,DONOSTIALDEA,"593,2","636,2","640,5","648,4","650,3","675,1","680,5","746,4","725,5"
20064,Pasaia,DONOSTIALDEA,"625,8","636,1","656,1","680,2","680,7","699,3","728,4","772,2","756,1"
20067,Errenteria,DONOSTIALDEA,"598,0","608,8","637,2","657,0","667,4","670,5","712,0","755,6","737,0"
20069,Donostia / San Sebastian,DONOSTIALDEA,"810,9","839,1","886,1","910,7","921,2","922,2","967,8","1.035,0","1.015,4"
20071,Tolosa,TOLOSALDEA,"552,9","552,2","568,8","607,4","627,9","632,2","648,2","682,4","673,1"
20072,Urnieta,DONOSTIALDEA,"585,7","623,2","658,4","661,4","669,9","696,1","713,9","774,5","745,6"
20073,Usurbil,DONOSTIALDEA,"633,5","598,0","649,8","659,7","668,2","701,3","741,2","778,4","752,5"
20074,Bergara,ALTO DEBA,"456,4","474,0","494,5","527,2","525,1","540,1","541,2","599,6","575,4"
20075,Villabona,TOLOSALDEA,"535,7","551,2","561,8","578,2","585,0","613,8","627,6","653,3","641,1"
20076,Ordizia,GOIERRI,"506,4","523,0","538,5","555,0","571,0","576,9","622,3","640,3","623,9"
20077,Urretxu,ALTO DEBA,-,"510,9","502,0","484,8","511,4","506,3","526,6","566,6","556,9"
20079,Zarautz,UROLA KOSTA,"735,1","732,9","771,3","790,3","803,5","822,6","858,1","898,5","884,8"
20080,Zumarraga,GOIERRI,"475,2","494,7","498,9","487,5","499,2","527,8","524,3","568,6","556,6"
20081,Zumaia,UROLA KOSTA,"604,4","627,5","639,5","657,6","693,7","724,3","768,3","741,4","751,1"
20902,Lasarte-Oria,DONOSTIALDEA,"637,7","663,8","687,9","721,2","730,3","730,2","776,2","819,1","792,7"
20903,Astigarraga,DONOSTIALDEA,"698,1","697,9","741,0","767,9","769,2","834,3","859,4","878,9","857,7"
48001,Abadiño,DURANGUESADO,"546,0","540,1","555,0","560,9","590,0","586,9","623,1","640,4","632,6"
48002,Abanto y Ciervana-Abanto Zierbena,GRAN BILBAO,"570,2","592,2","598,5","580,8","578,7","593,0","628,2","652,8","650,5"
48003,Amorebieta-Etxano,DURANGUESADO,"576,6","590,5","615,1","628,5","629,4","657,5","644,7","687,1","678,1"
48011,Arrigorriaga,GRAN BILBAO,"558,5","572,1","607,0","637,3","623,7","629,9","659,9","680,4","678,9"
48013,Barakaldo,GRAN BILBAO,"606,3","617,8","640,9","653,1","660,9","676,1","699,1","734,9","725,3"
48015,Basauri,GRAN BILBAO,"572,1","592,8","603,4","623,6","633,4","633,3","648,2","697,6","688,0"
48016,Berango,PLENTZIA-MUNGIA,"711,0","697,3",-,"766,9","753,2","710,7","820,3","792,3","808,3"
48017,Bermeo,GERNIKA-BERMEO,"440,5","443,0","459,9","467,2","478,3","503,1","515,5","552,7","537,4"
48020,Bilbao,GRAN BILBAO,"705,6","711,8","744,8","768,9","782,9","779,1","810,3","852,1","836,9"
48027,Durango,DURANGUESADO,"574,7","588,1","603,2","622,1","620,9","634,5","650,3","687,1","683,7"
48029,Etxebarri,GRAN BILBAO,"692,4","668,2","748,1","721,7","774,5","776,6","771,8","800,4","801,0"
48032,Elorrio,DURANGUESADO,"499,2","512,2","508,7","538,8","549,6","545,3","569,0","615,7","599,2"
48034,Ermua,DURANGUESADO,"491,5","500,0","483,6","512,0","532,1","538,4","549,6","583,4","577,1"
48036,Galdakao(1),GRAN BILBAO,"592,8","618,3","619,0","628,1","669,5","672,2","684,0","712,1","715,8"
48043,Gorliz,PLENTZIA-MUNGIA,"700,7","641,4","702,9","676,6","661,0","710,9","751,4","746,2","758,5"
48044,Getxo,GRAN BILBAO,"789,6","807,1","824,7","868,2","852,1","872,3","886,4","942,8","940,9"
48045,Gueñes,ENCARTACIONES,"506,8","509,4","526,9","532,0","566,7","552,7","570,3","592,0","590,9"
48046,Gernika-Lumo,GERNIKA-BERMEO,"518,8","522,1","555,8","575,3","575,1","586,3","620,8","636,5","635,7"
48054,Leioa,GRAN BILBAO,"719,9","734,1","752,5","755,7","792,9","780,8","803,8","878,9","850,8"
48057,Lekeitio,MARKINA-ONDARROA,"485,6","480,4","484,9","510,6","513,6","516,7","545,5","576,9","560,4"
48060,Markina-Xemein,MARKINA-ONDARROA,-,-,"484,0",-,-,"490,5","544,3","531,8","539,6"
48069,Mungia,PLENTZIA-MUNGIA,"620,4","631,3","647,3","640,9","686,3","694,2","720,5","754,9","740,4"
48071,Muskiz,ENCARTACIONES,"546,9","542,4","569,4","569,0","585,4","590,0","604,4","624,9","620,5"
48073,Ondarroa,MARKINA-ONDARROA,"479,1","475,5","496,5","513,2","494,3","495,2","529,2","551,1","551,0"
48078,Portugalete,GRAN BILBAO,"596,3","609,7","619,8","629,0","631,6","655,1","655,0","699,5","694,3"
48080,Valle de Trapaga-Trapagaran,GRAN BILBAO,"567,0","559,2","572,3","585,6","612,3","618,3","645,9","646,1","658,8"
48082,Santurtzi,GRAN BILBAO,"595,0","600,8","619,0","624,6","654,6","650,2","677,2","703,7","696,7"
48083,Ortuella,GRAN BILBAO,"538,3","532,7","544,3","538,2","539,5","574,8","597,4","625,9","619,5"
48084,Sestao,GRAN BILBAO,"546,7","576,4","589,0","593,6","601,1","613,7","632,7","655,4","660,8"
48085,Sopela,PLENTZIA-MUNGIA,"710,5","722,6","745,8","764,8","747,5","797,2","806,7","840,9","835,1"
48089,Urduliz,PLENTZIA-MUNGIA,"676,5","714,0","716,3","774,6","772,2","809,3","839,1","856,9","845,0"
48090,Balmaseda,ENCARTACIONES,"458,9","475,7","483,0","497,3","507,1","510,5","559,2","562,7","567,7"
48096,Zalla,ENCARTACIONES,"502,5","509,4","524,2","552,1","564,7","562,7","588,3","599,9","601,2"
48901,Derio,GRAN BILBAO,"617,6","623,6","643,0","655,2","670,5","702,7","732,0","771,2","751,0"
48902,Erandio,GRAN BILBAO,"620,9","643,1","649,0","667,8","671,8","671,3","694,6","740,0","729,1"
