Indicadores municipales de sostenibilidad: Mujeres electas en elecciones municipales (% sobre total personas electas);;;;;;;;;
"";;;;;;;;;
Resumen de datos;;;;;;;;;
Entidad;;2023;2019;2015;2011;2007;2003;1999;1995
Araba/Álava;;44,78;42,89;35,73;31,09;26,70;22,76;22,00;17,85
Bizkaia;;47,67;46,68;42,30;40,80;37,52;29,63;26,86;20,40
CAE;;47,24;46,28;41,43;38,83;35,92;27,90;26,94;21,44
Gipuzkoa;;47,77;47,26;42,87;39,79;38,04;27,95;29,20;24,36
"";;;;;;;;;
Detalle por comarcas;;;;;;;;;
Código comarca;Comarca;2023;2019;2015;2011;2007;2003;1999;1995
01100;Arabako Ibarrak / Valles Alaveses;41,27;34,43;28,57;28,57;26,98;25,42;27,12;22,03
01200;Arabako Lautada / Llanada Alavesa;51,33;54,95;38,53;36,70;30,28;28,57;30,10;17,48
01300;Arabako Mendialdea / Montaña Alavesa;32,50;42,50;33,33;28,57;33,33;21,43;22,50;20,00
48100;Arratia Nerbioi / Arratia-Nervión;45,08;47,50;40,83;40,83;37,93;27,19;24,11;20,69
20200;Bidasoa Beherea / Bajo Bidasoa;47,62;47,62;45,24;38,10;40,48;30,95;28,57;33,33
48200;Bilbo Handia / Gran Bilbao;47,90;45,79;42,99;43,81;41,67;32,46;29,90;22,20
20100;Deba Beherea / Bajo Deba;50,00;48,84;45,24;44,05;39,51;43,90;32,93;25,61
20300;Debagoiena / Alto Deba;50,00;47,12;44,23;40,57;36,79;21,00;26,47;20,59
20400;Donostialdea / Donostia-San Sebastián;48,68;50,26;43,65;43,58;41,34;29,61;35,20;31,64
48300;Durangaldea / Duranguesado;46,20;50,29;42,20;40,35;36,84;27,49;25,44;21,39
48400;Enkartazioak / Encartaciones;45,92;43,88;37,76;27,55;24,49;20,41;13,27;9,18
01400;Errioxa Arabarra / Rioja Alavesa;40,78;33,64;29,91;23,36;16,82;14,95;14,95;12,38
48500;Gernika-Bermeo;47,59;47,56;45,06;39,16;39,63;33,33;30,86;24,39
20500;Goierri;44,72;42,71;40,51;33,16;35,38;21,32;22,87;20,42
01500;Gorbeia Inguruak / Estribaciones del Gorbea;46,94;40,43;40,43;36,17;25,53;25,58;16,28;17,07
01600;Kantauri Arabarra / Cantábrica Alavesa;49,21;47,62;46,03;34,92;33,90;22,81;19,30;22,95
48600;Markina-Ondarroa;47,06;43,00;41,00;40,00;31,00;28,57;31,58;23,71
48700;Plentzia-Mungia;52,23;47,71;42,48;43,79;36,91;28,57;23,40;14,07
20600;Tolosaldea / Tolosa;46,32;45,85;40,54;39,01;33,97;27,40;26,73;18,89
20700;Urola-Kostaldea / Urola Costa;50,36;51,09;45,86;42,86;43,41;31,01;34,40;28,80
"";;;;;;;;;
Detalle por municipios;;;;;;;;;
Código municipio;Municipio;2023;2019;2015;2011;2007;2003;1999;1995
48001;Abadiño;38,46;46,15;38,46;53,85;46,15;30,77;23,08;15,38
20001;Abaltzisketa;28,57;28,57;0,00;0,00;0,00;42,86;0,00;14,29
48002;Abanto y Ciérvana-Abanto Zierbena;46,15;46,15;53,85;38,46;53,85;15,38;15,38;7,69
20002;Aduna;71,43;42,86;42,86;0,00;42,86;28,57;14,29;14,29
20016;Aia;36,36;54,55;36,36;36,36;44,44;22,22;55,56;33,33
20003;Aizarnazabal;57,14;71,43;57,14;42,86;42,86;28,57;42,86;28,57
48911;Ajangiz;71,43;28,57;28,57;14,29;28,57;0,00;14,29;28,57
20004;Albiztur;28,57;42,86;0,00;14,29;57,14;14,29;0,00;14,29
20005;Alegia;66,67;88,89;22,22;33,33;33,33;22,22;22,22;22,22
01001;Alegría-Dulantzi;45,45;54,55;36,36;27,27;9,09;33,33;11,11;11,11
20006;Alkiza;28,57;28,57;28,57;42,86;28,57;28,57;28,57;0,00
48912;Alonsotegi;45,45;36,36;27,27;45,45;45,45;45,45;27,27;0,00
20906;Altzaga;40,00;60,00;40,00;0,00;20,00;0,00;0,00;0,00
20007;Altzo;42,86;57,14;57,14;71,43;42,86;42,86;14,29;28,57
20008;Amezketa;28,57;42,86;14,29;42,86;42,86;0,00;33,33;22,22
48003;Amorebieta-Etxano;64,71;58,82;47,06;41,18;35,29;29,41;29,41;23,53
48004;Amoroto;42,86;14,29;28,57;28,57;14,29;42,86;28,57;0,00
01002;Amurrio;58,82;47,06;58,82;35,29;38,46;15,38;15,38;23,08
20009;Andoain;47,06;52,94;47,06;52,94;29,41;11,76;29,41;23,53
20010;Anoeta;54,55;45,45;33,33;44,44;33,33;22,22;11,11;33,33
20011;Antzuola;54,55;45,45;45,45;36,36;36,36;22,22;22,22;9,09
48005;Arakaldo;20,00;60,00;40,00;40,00;0,00;0,00;0,00;20,00
20012;Arama;20,00;0,00;60,00;20,00;100,00;40,00;40,00;0,00
01003;Aramaio;33,33;44,44;22,22;44,44;11,11;11,11;11,11;22,22
48006;Arantzazu;28,57;42,86;57,14;42,86;42,86;42,86;42,86;28,57
48093;Areatza;33,33;44,44;44,44;44,44;33,33;22,22;11,11;22,22
20013;Aretxabaleta;46,15;46,15;38,46;46,15;38,46;30,77;15,38;7,69
01006;Armiñón;20,00;60,00;60,00;40,00;20,00;60,00;40,00;20,00
01037;Arraia-Maeztu;42,86;71,43;57,14;28,57;42,86;14,29;14,29;57,14
48009;Arrankudiaga;44,44;57,14;57,14;42,86;42,86;42,86;14,29;42,86
20055;Arrasate/Mondragón;47,62;47,62;42,86;38,10;42,86;19,05;38,10;38,10
48914;Arratzu;42,86;57,14;42,86;28,57;28,57;42,86;14,29;0,00
01008;Arratzua-Ubarrundia;55,56;71,43;42,86;57,14;57,14;42,86;42,86;14,29
48010;Arrieta;71,43;28,57;71,43;28,57;57,14;42,86;71,43;42,86
48011;Arrigorriaga;52,94;52,94;41,18;41,18;41,18;41,18;23,53;23,53
48023;Artea;57,14;42,86;0,00;42,86;42,86;42,86;57,14;28,57
48008;Artzentales;57,14;42,86;42,86;42,86;42,86;0,00;14,29;28,57
01004;Artziniega;33,33;44,44;33,33;33,33;33,33;22,22;22,22;33,33
01009;Asparrena;44,44;66,67;22,22;0,00;11,11;0,00;22,22;0,00
20014;Asteasu;66,67;33,33;33,33;22,22;22,22;22,22;33,33;22,22
20903;Astigarraga;46,15;53,85;46,15;45,45;27,27;18,18;27,27;18,18
20015;Ataun;33,33;44,44;44,44;33,33;33,33;22,22;33,33;33,33
48091;Atxondo;33,33;44,44;33,33;33,33;22,22;11,11;11,11;0,00
48070;Aulesti;57,14;57,14;57,14;42,86;14,29;14,29;42,86;28,57
01010;Ayala/Aiara;54,55;54,55;36,36;45,45;36,36;18,18;9,09;9,09
20017;Azkoitia;58,82;52,94;41,18;41,18;58,82;35,29;29,41;41,18
20018;Azpeitia;47,06;47,06;47,06;47,06;35,29;35,29;23,53;17,65
01049;Añana;40,00;40,00;20,00;20,00;0,00;0,00;20,00;40,00
48012;Bakio;54,55;45,45;18,18;36,36;45,45;22,22;22,22;11,11
20904;Baliarrain;20,00;40,00;40,00;20,00;0,00;0,00;0,00;0,00
48090;Balmaseda;38,46;38,46;30,77;30,77;38,46;23,08;7,69;7,69
48013;Barakaldo;40,74;44,44;48,15;48,00;52,00;40,00;44,00;33,33
48014;Barrika;44,44;44,44;11,11;22,22;22,22;33,33;44,44;14,29
01013;Barrundia;28,57;42,86;42,86;57,14;28,57;42,86;28,57;28,57
48015;Basauri;57,14;47,62;42,86;47,62;47,62;38,10;38,10;20,00
01011;Baños de Ebro/Mañueta;14,29;28,57;14,29;0,00;0,00;14,29;0,00;14,29
20019;Beasain;47,06;47,06;52,94;41,18;47,06;23,53;29,41;23,53
48092;Bedia;44,44;55,56;66,67;42,86;42,86;42,86;28,57;22,22
20020;Beizama;20,00;40,00;40,00;40,00;60,00;40,00;40,00;40,00
20021;Belauntza;28,57;40,00;28,57;28,57;57,14;42,86;42,86;14,29
48016;Berango;61,54;46,15;61,54;46,15;53,85;46,15;27,27;18,18
01014;Berantevilla;28,57;14,29;0,00;14,29;42,86;57,14;57,14;28,57
20022;Berastegi;44,44;55,56;33,33;55,56;33,33;0,00;14,29;0,00
