Indicadores municipales de sostenibilidad: Población extranjera (%);;;;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;;;
Entidad;;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
Araba/Álava;;11,19;10,57;9,98;9,69;9,88;9,28;8,67;8,85;8,68;8,70;9,50;9,70;10,04;9,39;9,03;8,30;7,22;6,02;5,15;4,30;3,46;2,71
Bizkaia;;9,43;8,85;8,05;7,87;7,93;7,04;6,37;6,61;6,27;6,09;6,64;6,96;6,93;6,59;6,17;5,78;5,05;4,17;3,42;2,81;2,22;1,69
CAE;;9,84;9,27;8,54;8,34;8,41;7,62;6,98;7,15;6,88;6,71;7,21;7,39;7,34;6,95;6,54;6,12;5,32;4,36;3,61;2,94;2,37;1,84
Gipuzkoa;;9,86;9,34;8,63;8,46;8,49;7,78;7,18;7,25;7,03;6,79;7,11;7,05;6,78;6,42;6,02;5,70;4,94;3,93;3,24;2,55;2,14;1,73
"";;;;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
01100;Arabako Ibarrak / Valles Alaveses;8,67;8,15;8,11;8,25;8,49;8,12;7,26;7,96;7,27;7,42;8,34;8,90;7,92;7,23;6,62;5,80;5,04;4,51;3,60;3,02;2,05;1,55
01200;Arabako Lautada / Llanada Alavesa;11,91;11,28;10,65;10,31;10,53;9,88;9,27;9,43;9,32;9,35;10,24;10,45;10,90;10,15;9,80;8,99;7,77;6,44;5,59;4,69;3,81;3,02
01300;Arabako Mendialdea / Montaña Alavesa;6,40;5,67;5,70;5,38;5,39;5,68;4,81;5,62;4,26;4,02;5,00;6,50;6,33;5,86;6,12;5,94;6,24;5,20;4,46;4,74;3,70;2,29
48100;Arratia Nerbioi / Arratia-Nervión;9,17;8,66;8,12;7,95;7,65;6,99;6,01;5,93;5,42;5,18;5,83;6,45;6,29;6,07;5,76;5,34;5,11;3,59;3,09;2,64;2,01;1,29
20200;Bidasoa Beherea / Bajo Bidasoa;11,25;10,42;10,09;9,81;10,05;9,26;8,73;8,85;8,52;8,32;8,70;8,64;8,37;7,95;7,54;7,21;6,42;5,29;4,58;3,60;3,07;2,44
48200;Bilbo Handia / Gran Bilbao;9,66;9,02;8,16;7,94;7,99;7,00;6,31;6,60;6,25;6,08;6,66;6,95;6,93;6,66;6,22;5,81;5,02;4,18;3,46;2,84;2,24;1,71
20100;Deba Beherea / Bajo Deba;10,51;9,92;9,35;9,31;9,38;8,48;7,84;7,59;7,55;7,22;7,54;7,30;6,62;5,99;5,55;5,01;4,22;3,23;2,43;1,77;1,52;1,22
20300;Debagoiena / Alto Deba;8,75;8,09;7,19;6,93;6,78;6,19;5,82;5,80;5,62;5,69;6,17;5,79;5,40;4,95;4,63;4,30;3,70;3,05;2,24;1,59;1,17;0,91
20400;Donostialdea / Donostia-San Sebastián;9,56;9,10;8,28;8,06;8,14;7,45;6,77;7,06;6,78;6,47;6,87;6,92;6,69;6,37;5,93;5,66;4,90;4,03;3,50;2,93;2,54;2,07
48300;Durangaldea / Duranguesado;9,71;9,04;8,52;8,29;8,35;7,70;7,09;7,12;6,81;6,50;6,80;7,20;7,12;6,49;6,05;5,71;4,98;3,93;3,06;2,38;1,82;1,37
48400;Enkartazioak / Encartaciones;7,76;7,46;6,91;7,06;7,31;6,81;6,05;6,22;5,97;5,85;6,12;6,52;6,42;5,82;5,41;4,88;4,35;3,44;2,78;2,17;1,67;1,25
01400;Errioxa Arabarra / Rioja Alavesa;13,67;13,05;12,65;12,46;12,53;11,72;11,03;11,69;10,96;10,99;11,09;10,75;10,37;9,80;8,78;8,55;8,38;7,58;5,79;4,88;3,80;2,88
48500;Gernika-Bermeo;10,01;9,65;8,83;8,69;8,67;8,03;7,44;7,33;7,09;6,90;7,24;7,80;7,63;6,93;6,38;6,12;5,56;4,58;3,48;2,76;1,97;1,35
20500;Goierri;12,41;11,77;10,95;10,75;10,46;9,64;8,83;8,58;8,40;8,16;8,21;8,04;7,93;7,63;7,29;7,08;6,34;4,20;3,06;2,14;1,66;1,36
01500;Gorbeia Inguruak / Estribaciones del Gorbea;7,19;6,35;5,77;5,80;5,61;5,11;4,53;4,50;4,73;5,05;5,31;5,50;6,12;5,72;5,70;5,65;4,84;4,64;3,94;3,19;2,46;2,18
01600;Kantauri Arabarra / Cantábrica Alavesa;6,68;6,22;5,75;5,67;5,70;5,46;5,03;5,07;4,78;4,64;5,24;5,32;5,31;5,30;4,93;4,43;3,86;3,13;2,32;1,79;1,27;0,81
48600;Markina-Ondarroa;9,14;8,85;8,52;8,64;9,05;8,42;7,78;8,04;7,45;7,17;7,71;7,79;7,60;7,33;6,93;6,97;6,26;5,19;4,20;3,51;3,12;2,47
48700;Plentzia-Mungia;6,40;6,19;5,58;5,54;5,66;5,30;4,84;5,11;4,92;4,94;5,59;5,94;6,07;5,78;5,55;5,35;4,89;4,16;3,59;3,25;2,69;2,14
20600;Tolosaldea / Tolosa;9,80;9,29;8,68;8,53;8,53;7,69;7,05;6,85;6,58;6,37;6,26;6,18;5,64;5,20;4,84;4,33;3,58;2,77;2,24;1,52;1,21;1,01
20700;Urola-Kostaldea / Urola Costa;7,95;7,78;7,26;7,36;7,36;6,90;6,62;6,45;6,42;6,26;6,51;6,53;6,48;6,24;5,88;5,56;4,70;3,74;2,89;2,19;1,68;1,39
"";;;;;;;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;;;;;;
