,Trimestre,Euskadi_Total,Euskadi_Nueva,Euskadi_Usada,Álava_Total,Álava_Nueva,Álava_Usada,Bizkaia_Total,Bizkaia_Nueva,Bizkaia_Usada,Gipuzkoa_Total,Gipuzkoa_Nueva,Gipuzkoa_Usada
0,2025,262756.3333333333,289557.0,257200.0,229070.0,234395.66666666666,226637.33333333334,244802.66666666666,274538.0,238134.33333333334,304035.3333333333,390038.0,293962.3333333333
1,2023,247215.0,297118.75,238947.0,221106.75,250499.25,216473.25,234635.75,314956.75,221924.75,276812.75,288307.0,274612.75
2,2022,243582.25,288345.25,236742.5,207139.25,221790.75,203713.0,236409.5,308709.75,225551.5,271810.25,288801.5,269382.75
3,2021,246830.75,293447.0,238524.25,202848.75,209676.0,202206.25,241695.5,307465.25,229103.5,271371.75,292210.0,267535.0
4,2020,241276.0,294809.25,230814.5,198174.5,213654.0,194679.75,237037.25,299383.0,224164.75,265791.25,304111.0,257043.5
5,2019,222329.25,247880.0,217718.5,182892.0,191585.25,180562.75,217864.5,267541.75,210883.25,242861.5,242218.75,242830.5
6,2018,212776.5,228006.0,209718.5,165228.0,163062.0,165373.75,209359.25,240698.25,203810.25,235729.75,224333.75,238573.25
7,2017,208043.75,221971.25,205110.25,167638.25,207338.25,159862.0,202720.5,236476.75,197321.0,230885.5,210527.5,237013.5
8,2016,208165.25,211670.0,207224.5,157015.25,157700.25,156631.5,208024.25,223144.0,204928.25,224898.75,208655.75,228405.75
9,2015,200153.5,214954.25,197066.75,167763.0,182219.75,162513.5,200141.0,224955.0,194583.75,210553.5,206669.0,211727.75
10,2014,204741.25,214996.25,200881.0,169159.75,186142.5,160234.5,201503.5,226737.0,192135.0,225429.0,216299.0,228707.5
11,2013,219858.5,234461.5,212647.5,188964.5,207434.5,178457.5,219383.0,252271.0,203789.75,232727.5,216007.5,239567.5
12,2012,234880.75,250118.0,225920.0,196940.0,209573.25,183768.75,247993.25,300921.25,219112.25,240707.75,244941.75,238807.0
