Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Viviendas y plazas;Periodo;Total
Total Nacional;16 País Vasco;;Viviendas turísticas;2024M11;5.473
Total Nacional;16 País Vasco;;Viviendas turísticas;2024M08;5.828
Total Nacional;16 País Vasco;;Viviendas turísticas;2024M02;5.140
Total Nacional;16 País Vasco;;Viviendas turísticas;2023M08;5.121
Total Nacional;16 País Vasco;;Viviendas turísticas;2023M02;4.353
Total Nacional;16 País Vasco;;Viviendas turísticas;2022M08;4.693
Total Nacional;16 País Vasco;;Viviendas turísticas;2022M02;3.995
Total Nacional;16 País Vasco;;Viviendas turísticas;2021M08;4.354
Total Nacional;16 País Vasco;;Viviendas turísticas;2021M02;4.016
Total Nacional;16 País Vasco;;Viviendas turísticas;2020M08;4.598
Total Nacional;16 País Vasco;01 Araba/Álava;Viviendas turísticas;2024M11;389
Total Nacional;16 País Vasco;01 Araba/Álava;Viviendas turísticas;2024M08;407
Total Nacional;16 País Vasco;01 Araba/Álava;Viviendas turísticas;2024M02;346
Total Nacional;16 País Vasco;01 Araba/Álava;Viviendas turísticas;2023M08;320
Total Nacional;16 País Vasco;01 Araba/Álava;Viviendas turísticas;2023M02;332
Total Nacional;16 País Vasco;01 Araba/Álava;Viviendas turísticas;2022M08;325
Total Nacional;16 País Vasco;01 Araba/Álava;Viviendas turísticas;2022M02;279
Total Nacional;16 País Vasco;01 Araba/Álava;Viviendas turísticas;2021M08;328
Total Nacional;16 País Vasco;01 Araba/Álava;Viviendas turísticas;2021M02;300
Total Nacional;16 País Vasco;01 Araba/Álava;Viviendas turísticas;2020M08;332
Total Nacional;16 País Vasco;48 Bizkaia;Viviendas turísticas;2024M11;2.811
Total Nacional;16 País Vasco;48 Bizkaia;Viviendas turísticas;2024M08;2.947
Total Nacional;16 País Vasco;48 Bizkaia;Viviendas turísticas;2024M02;2.611
Total Nacional;16 País Vasco;48 Bizkaia;Viviendas turísticas;2023M08;2.545
Total Nacional;16 País Vasco;48 Bizkaia;Viviendas turísticas;2023M02;2.064
Total Nacional;16 País Vasco;48 Bizkaia;Viviendas turísticas;2022M08;2.074
Total Nacional;16 País Vasco;48 Bizkaia;Viviendas turísticas;2022M02;1.805
Total Nacional;16 País Vasco;48 Bizkaia;Viviendas turísticas;2021M08;1.928
Total Nacional;16 País Vasco;48 Bizkaia;Viviendas turísticas;2021M02;1.829
Total Nacional;16 País Vasco;48 Bizkaia;Viviendas turísticas;2020M08;2.025
Total Nacional;16 País Vasco;20 Gipuzkoa;Viviendas turísticas;2024M11;2.273
Total Nacional;16 País Vasco;20 Gipuzkoa;Viviendas turísticas;2024M08;2.474
Total Nacional;16 País Vasco;20 Gipuzkoa;Viviendas turísticas;2024M02;2.183
Total Nacional;16 País Vasco;20 Gipuzkoa;Viviendas turísticas;2023M08;2.256
Total Nacional;16 País Vasco;20 Gipuzkoa;Viviendas turísticas;2023M02;1.957
Total Nacional;16 País Vasco;20 Gipuzkoa;Viviendas turísticas;2022M08;2.294
Total Nacional;16 País Vasco;20 Gipuzkoa;Viviendas turísticas;2022M02;1.911
Total Nacional;16 País Vasco;20 Gipuzkoa;Viviendas turísticas;2021M08;2.098
Total Nacional;16 País Vasco;20 Gipuzkoa;Viviendas turísticas;2021M02;1.887
Total Nacional;16 País Vasco;20 Gipuzkoa;Viviendas turísticas;2020M08;2.241
