Indicadores municipales de sostenibilidad: Licencias de vivienda nueva concedidas en el último quinquenio (? habitantes);;;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
Araba/Álava;;16,13;13,85;12,31;9,13;7,84;6,51;5,78;7,63;13,98;20,37;30,92;41,87;58,22;66,29;67,98;70,64;72,58;53,49;46,09;44,55;41,18
Bizkaia;;9,12;9,03;9,03;9,58;9,61;9,09;8,31;7,40;8,20;8,73;8,70;10,24;14,72;17,28;20,98;25,40;27,76;25,76;29,55;31,34;53,24
CAE;;10,35;9,76;9,75;9,57;9,55;8,72;7,92;7,59;9,23;11,10;13,22;16,63;22,52;26,44;29,50;32,78;34,77;29,67;31,00;31,97;32,06
Gipuzkoa;;9,67;9,05;9,74;9,76;10,24;9,14;8,27;7,88;8,75;10,76;12,62;15,74;19,33;23,73;26,48;28,26;29,83;25,83;26,92;27,65;28,36
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
01100;Arabako Ibarrak / Valles Alaveses;9,78;9,86;7,84;4,62;5,31;5,49;5,68;5,68;6,67;6,69;7,43;8,20;30,75;40,88;57,89;64,43;87,15;69,99;0,00;0,00;0,00
01200;Arabako Lautada / Llanada Alavesa;17,86;15,24;13,05;9,30;7,77;6,49;5,89;8,46;16,01;23,46;36,16;48,85;65,68;73,13;73,17;74,48;74,90;53,26;0,00;0,00;0,00
01300;Arabako Mendialdea / Montaña Alavesa;8,60;8,08;10,50;7,65;7,66;5,97;5,58;3,24;5,11;9,79;20,66;28,17;35,80;51,67;56,93;49,52;52,61;48,35;0,00;0,00;0,00
48100;Arratia Nerbioi / Arratia-Nervión;4,90;2,67;3,64;3,15;2,94;2,99;3,33;2,02;5,19;16,92;19,16;22,64;28,08;34,03;36,86;38,64;42,85;36,66;0,00;0,00;0,00
20200;Bidasoa Beherea / Bajo Bidasoa;11,73;11,15;13,73;12,95;12,93;11,95;10,28;9,38;12,99;14,85;12,29;15,54;15,56;14,31;11,65;16,17;18,44;17,05;0,00;0,00;0,00
48200;Bilbo Handia / Gran Bilbao;9,00;9,14;8,90;9,46;9,63;9,13;8,39;7,24;7,43;7,39;6,97;7,51;10,76;12,36;16,15;19,99;22,25;22,59;0,00;0,00;0,00
20100;Deba Beherea / Bajo Deba;12,23;10,48;8,12;6,71;4,43;3,72;5,37;5,56;6,59;6,92;8,94;12,67;12,63;21,15;31,07;33,66;32,57;30,84;0,00;0,00;0,00
20300;Debagoiena / Alto Deba;9,47;10,36;9,90;8,12;6,59;3,35;2,39;2,44;4,45;8,99;11,58;15,16;29,53;42,14;44,56;45,27;48,42;32,78;0,00;0,00;0,00
20400;Donostialdea / Donostia-San Sebastián;6,87;7,11;9,40;10,51;11,50;11,32;10,49;8,61;8,40;11,02;12,36;14,33;16,92;19,64;21,22;23,14;24,97;22,33;0,00;0,00;0,00
48300;Durangaldea / Duranguesado;12,15;8,71;9,42;10,47;9,28;9,49;9,42;10,26;12,70;14,99;17,29;22,20;25,36;25,85;29,11;36,27;37,45;37,32;0,00;0,00;0,00
48400;Enkartazioak / Encartaciones;0,44;0,47;0,41;0,50;1,13;1,28;1,31;2,68;7,74;8,43;11,09;17,06;34,80;40,35;50,13;54,88;53,96;34,27;0,00;0,00;0,00
01400;Errioxa Arabarra / Rioja Alavesa;3,00;2,49;2,33;1,65;1,47;1,39;1,04;4,06;5,25;7,67;10,69;25,03;29,27;39,34;47,17;60,02;60,61;67,82;0,00;0,00;0,00
