Indicadores municipales de sostenibilidad: Población total (hab.);;;;;;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;;;;;
Entidad;;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001
Araba/Álava;;335.146,00;332.851,00;330.692,00;330.189,00;330.209,00;327.967,00;325.518,00;323.592,00;322.335,00;321.777,00;320.032,00;320.266,00;321.862,00;318.730,00;317.016,00;313.561,00;309.786,00;305.732,00;301.800,00;298.166,00;294.012,00;291.038,00;287.560,00;284.596,00
Bizkaia;;1.150.037,00;1.144.019,00;1.139.209,00;1.144.123,00;1.149.044,00;1.142.853,00;1.140.662,00;1.139.426,00;1.138.852,00;1.141.442,00;1.144.214,00;1.150.792,00;1.154.134,00;1.152.406,00;1.151.708,00;1.151.125,00;1.144.424,00;1.137.948,00;1.127.291,00;1.122.410,00;1.119.697,00;1.119.849,00;1.120.591,00;1.122.180,00
CAE;;2.208.007,00;2.196.745,00;2.186.517,00;2.193.199,00;2.199.711,00;2.188.017,00;2.180.449,00;2.175.819,00;2.171.886,00;2.173.210,00;2.172.877,00;2.178.949,00;2.181.590,00;2.174.033,00;2.169.038,00;2.162.953,00;2.147.754,00;2.130.996,00;2.115.383,00;2.104.396,00;2.095.014,00;2.089.950,00;2.085.058,00;2.079.210,00
Gipuzkoa;;722.824,00;719.875,00;716.616,00;718.887,00;720.458,00;717.197,00;714.269,00;712.801,00;710.699,00;709.991,00;708.631,00;707.891,00;705.594,00;702.897,00;700.314,00;698.267,00;693.544,00;687.316,00;686.292,00;683.820,00;681.305,00;679.063,00;676.907,00;672.434,00
"";;;;;;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001
01100;Arabako Ibarrak / Valles Alaveses;6.367,00;6.309,00;6.329,00;6.267,00;6.159,00;6.099,00;6.075,00;6.032,00;5.930,00;5.980,00;6.016,00;5.998,00;6.023,00;5.951,00;5.905,00;5.721,00;5.654,00;5.548,00;5.420,00;5.297,00;5.166,00;4.961,00;4.945,00;4.850,00
01200;Arabako Lautada / Llanada Alavesa;269.971,00;268.014,00;265.938,00;265.498,00;265.868,00;263.710,00;261.289,00;259.639,00;258.641,00;257.808,00;255.941,00;256.003,00;257.458,00;254.761,00;253.511,00;250.653,00;247.371,00;243.929,00;240.897,00;237.932,00;234.552,00;232.635,00;229.715,00;227.153,00
01300;Arabako Mendialdea / Montaña Alavesa;3.232,00;3.208,00;3.243,00;3.180,00;3.023,00;3.009,00;3.013,00;3.009,00;2.981,00;3.009,00;3.063,00;3.170,00;3.209,00;3.192,00;3.203,00;3.197,00;3.172,00;3.155,00;3.141,00;3.143,00;3.138,00;3.104,00;3.089,00;3.089,00
